,lect_name,prof_name,lect_room,lect_time,lect_time_numbered,lect_onoff,lect_domain,credit
10,비즈니스영어,저스틴바라스,['85602'],"수15:00-15:50, 수16:00-16:50","['수72', '수73', '수74', '수75', '수76', '수77', '수78', '수79', '수80', '수81', '수84', '수85', '수86', '수87', '수88', '수89', '수90', '수91', '수92', '수93']",오프라인,"['글로벌', '전문영어']",2
11,비즈니스영어,닉헤이즈,['27532'],"수13:00-13:50, 수14:00-14:50","['수48', '수49', '수50', '수51', '수52', '수53', '수54', '수55', '수56', '수57', '수60', '수61', '수62', '수63', '수64', '수65', '수66', '수67', '수68', '수69']",오프라인,"['글로벌', '전문영어']",2
12,스페인어문화권의사회와문화,강정원,['85702'],"수15:00-15:50, 수16:00-16:50","['수72', '수73', '수74', '수75', '수76', '수77', '수78', '수79', '수80', '수81', '수84', '수85', '수86', '수87', '수88', '수89', '수90', '수91', '수92', '수93']",오프라인,"['글로벌', '글로벌문화']",2
13,스포츠영어,닉헤이즈,['27532'],"월13:00-13:50, 월14:00-14:50","['월48', '월49', '월50', '월51', '월52', '월53', '월54', '월55', '월56', '월57', '월60', '월61', '월62', '월63', '월64', '월65', '월66', '월67', '월68', '월69']",오프라인,"['글로벌', '전문영어']",2
14,앙트레프레너십영어,윌리암히슬롭,['85602'],"화13:00-13:50, 화14:00-14:50","['화48', '화49', '화50', '화51', '화52', '화53', '화54', '화55', '화56', '화57', '화60', '화61', '화62', '화63', '화64', '화65', '화66', '화67', '화68', '화69']",오프라인,"['글로벌', '전문영어']",2
15,영어쓰기,저스틴바라스,['51209'],"월09:00-10:15, 수10:30-11:45","['월0', '월1', '월2', '월3', '월4', '월5', '월6', '월7', '월8', '월9', '월10', '월11', '월12', '월13', '월14', '수18', '수19', '수20', '수21', '수22', '수23', '수24', '수25', '수26', '수27', '수28', '수29', '수30', '수31', '수32']",오프라인,"['글로벌(필수)', '기본영어']",2
16,영어쓰기,저스틴바라스,['51209'],"월10:30-11:45, 수09:00-10:15","['월18', '월19', '월20', '월21', '월22', '월23', '월24', '월25', '월26', '월27', '월28', '월29', '월30', '월31', '월32', '수0', '수1', '수2', '수3', '수4', '수5', '수6', '수7', '수8', '수9', '수10', '수11', '수12', '수13', '수14']",오프라인,"['글로벌(필수)', '기본영어']",2
17,영어쓰기,저스틴바라스,['51209'],"화09:00-10:15, 목10:30-11:45","['화0', '화1', '화2', '화3', '화4', '화5', '화6', '화7', '화8', '화9', '화10', '화11', '화12', '화13', '화14', '목18', '목19', '목20', '목21', '목22', '목23', '목24', '목25', '목26', '목27', '목28', '목29', '목30', '목31', '목32']",오프라인,"['글로벌(필수)', '기본영어']",2
18,영어쓰기,저스틴바라스,['51209'],"화10:30-11:45, 목09:00-10:15","['화18', '화19', '화20', '화21', '화22', '화23', '화24', '화25', '화26', '화27', '화28', '화29', '화30', '화31', '화32', '목0', '목1', '목2', '목3', '목4', '목5', '목6', '목7', '목8', '목9', '목10', '목11', '목12', '목13', '목14']",오프라인,"['글로벌(필수)', '기본영어']",2
19,유럽사회와문화,박규현,['85712'],"목09:00-09:50, 목10:00-10:50","['목0', '목1', '목2', '목3', '목4', '목5', '목6', '목7', '목8', '목9', '목12', '목13', '목14', '목15', '목16', '목17', '목18', '목19', '목20', '목21']",오프라인,"['글로벌', '글로벌문화']",2
20,이슬람세계의사상과문화,최영철,['미지정'],"목13:00-13:50, 목14:00-14:50","['목48', '목49', '목50', '목51', '목52', '목53', '목54', '목55', '목56', '목57', '목60', '목61', '목62', '목63', '목64', '목65', '목66', '목67', '목68', '목69']",온라인[사전제작],"['글로벌', '글로벌문화']",2
21,인도문명권의사상과문화,김종민,['미지정'],"화13:00-13:50, 화14:00-14:50","['화48', '화49', '화50', '화51', '화52', '화53', '화54', '화55', '화56', '화57', '화60', '화61', '화62', '화63', '화64', '화65', '화66', '화67', '화68', '화69']",온라인[사전제작],"['글로벌', '글로벌문화']",2
22,한국어와한국문화의이해,윤유숙,['85602'],"금09:00-10:15, 금10:30-11:45","['금0', '금1', '금2', '금3', '금4', '금5', '금6', '금7', '금8', '금9', '금10', '금11', '금12', '금13', '금14', '금18', '금19', '금20', '금21', '금22', '금23', '금24', '금25', '금26', '금27', '금28', '금29', '금30', '금31', '금32']",오프라인,"['글로벌', '글로벌문화']",2
23,현대사회의인권과평등,패트리샤게디,['23217'],"수13:00-13:50, 수14:00-14:50","['수48', '수49', '수50', '수51', '수52', '수53', '수54', '수55', '수56', '수57', '수60', '수61', '수62', '수63', '수64', '수65', '수66', '수67', '수68', '수69']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['글로벌', '글로벌문화']",2
24,현대중국사회의이해,유홍준,['85702'],"화13:00-13:50, 화14:00-14:50","['화48', '화49', '화50', '화51', '화52', '화53', '화54', '화55', '화56', '화57', '화60', '화61', '화62', '화63', '화64', '화65', '화66', '화67', '화68', '화69']",오프라인,"['글로벌', '글로벌문화']",2
25,과학기술글쓰기,박상태,['51356'],"월09:00-10:15, 수10:30-11:45","['월0', '월1', '월2', '월3', '월4', '월5', '월6', '월7', '월8', '월9', '월10', '월11', '월12', '월13', '월14', '수18', '수19', '수20', '수21', '수22', '수23', '수24', '수25', '수26', '수27', '수28', '수29', '수30', '수31', '수32']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['의사소통', '의사소통']",2
26,과학기술글쓰기,박상태,['51356'],"월10:30-11:45, 수09:00-10:15","['월18', '월19', '월20', '월21', '월22', '월23', '월24', '월25', '월26', '월27', '월28', '월29', '월30', '월31', '월32', '수0', '수1', '수2', '수3', '수4', '수5', '수6', '수7', '수8', '수9', '수10', '수11', '수12', '수13', '수14']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['의사소통', '의사소통']",2
27,과학기술글쓰기,전영실,['26509'],"월12:00-13:15, 수13:30-14:45","['월36', '월37', '월38', '월39', '월40', '월41', '월42', '월43', '월44', '월45', '월46', '월47', '월48', '월49', '월50', '수54', '수55', '수56', '수57', '수58', '수59', '수60', '수61', '수62', '수63', '수64', '수65', '수66', '수67', '수68']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['의사소통', '의사소통']",2
28,과학기술글쓰기,전영실,['26509'],"월13:30-14:45, 수12:00-13:15","['월54', '월55', '월56', '월57', '월58', '월59', '월60', '월61', '월62', '월63', '월64', '월65', '월66', '월67', '월68', '수36', '수37', '수38', '수39', '수40', '수41', '수42', '수43', '수44', '수45', '수46', '수47', '수48', '수49', '수50']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['의사소통', '의사소통']",2
29,발표와매체언어,김혜진,['85777'],"목12:00-13:15, 목13:30-14:45","['목36', '목37', '목38', '목39', '목40', '목41', '목42', '목43', '목44', '목45', '목46', '목47', '목48', '목49', '목50', '목54', '목55', '목56', '목57', '목58', '목59', '목60', '목61', '목62', '목63', '목64', '목65', '목66', '목67', '목68']",오프라인,"['의사소통', '의사소통']",2
30,발표와토의,유현정,['27515'],"화15:00-16:15, 화16:30-17:45","['화72', '화73', '화74', '화75', '화76', '화77', '화78', '화79', '화80', '화81', '화82', '화83', '화84', '화85', '화86', '화90', '화91', '화92', '화93', '화94', '화95', '화96', '화97', '화98', '화99', '화100', '화101', '화102', '화103', '화104']",오프라인,"['의사소통', '의사소통']",3
31,스피치와토론,심흥식,['51207'],"월09:00-10:15, 수10:30-11:45","['월0', '월1', '월2', '월3', '월4', '월5', '월6', '월7', '월8', '월9', '월10', '월11', '월12', '월13', '월14', '수18', '수19', '수20', '수21', '수22', '수23', '수24', '수25', '수26', '수27', '수28', '수29', '수30', '수31', '수32']",오프라인,"['의사소통', '의사소통']",2
32,스피치와토론,심흥식,['51207'],"월10:30-11:45, 수09:00-10:15","['월18', '월19', '월20', '월21', '월22', '월23', '월24', '월25', '월26', '월27', '월28', '월29', '월30', '월31', '월32', '수0', '수1', '수2', '수3', '수4', '수5', '수6', '수7', '수8', '수9', '수10', '수11', '수12', '수13', '수14']",오프라인,"['의사소통', '의사소통']",2
33,스피치와토론,김동규,['51207'],"월12:00-13:15, 수13:30-14:45","['월36', '월37', '월38', '월39', '월40', '월41', '월42', '월43', '월44', '월45', '월46', '월47', '월48', '월49', '월50', '수54', '수55', '수56', '수57', '수58', '수59', '수60', '수61', '수62', '수63', '수64', '수65', '수66', '수67', '수68']",오프라인,"['의사소통', '의사소통']",2
34,스피치와토론,김동규,['51207'],"월13:30-14:45, 수12:00-13:15","['월54', '월55', '월56', '월57', '월58', '월59', '월60', '월61', '월62', '월63', '월64', '월65', '월66', '월67', '월68', '수36', '수37', '수38', '수39', '수40', '수41', '수42', '수43', '수44', '수45', '수46', '수47', '수48', '수49', '수50']",오프라인,"['의사소통', '의사소통']",2
35,의사소통1,최주희,['27530'],"월12:00-13:15, 월13:30-14:45","['월36', '월37', '월38', '월39', '월40', '월41', '월42', '월43', '월44', '월45', '월46', '월47', '월48', '월49', '월50', '월54', '월55', '월56', '월57', '월58', '월59', '월60', '월61', '월62', '월63', '월64', '월65', '월66', '월67', '월68']",오프라인,"['의사소통', '의사소통']",2
36,의사소통2,김소연,['85702'],"수12:00-13:15, 수13:30-14:45","['수36', '수37', '수38', '수39', '수40', '수41', '수42', '수43', '수44', '수45', '수46', '수47', '수48', '수49', '수50', '수54', '수55', '수56', '수57', '수58', '수59', '수60', '수61', '수62', '수63', '수64', '수65', '수66', '수67', '수68']",오프라인,"['의사소통', '의사소통']",2
37,의사소통3,김소연,['85702'],"수09:00-10:15, 수10:30-11:45","['수0', '수1', '수2', '수3', '수4', '수5', '수6', '수7', '수8', '수9', '수10', '수11', '수12', '수13', '수14', '수18', '수19', '수20', '수21', '수22', '수23', '수24', '수25', '수26', '수27', '수28', '수29', '수30', '수31', '수32']",오프라인,"['의사소통', '의사소통']",2
38,의사소통4,최주희,['27530'],"수12:00-13:15, 수13:30-14:45","['수36', '수37', '수38', '수39', '수40', '수41', '수42', '수43', '수44', '수45', '수46', '수47', '수48', '수49', '수50', '수54', '수55', '수56', '수57', '수58', '수59', '수60', '수61', '수62', '수63', '수64', '수65', '수66', '수67', '수68']",오프라인,"['의사소통', '의사소통']",2
39,창의적글쓰기,이지양,['51206'],"월09:00-10:15, 수10:30-11:45","['월0', '월1', '월2', '월3', '월4', '월5', '월6', '월7', '월8', '월9', '월10', '월11', '월12', '월13', '월14', '수18', '수19', '수20', '수21', '수22', '수23', '수24', '수25', '수26', '수27', '수28', '수29', '수30', '수31', '수32']",오프라인,"['의사소통', '의사소통']",2
40,창의적글쓰기,이지양,['51206'],"월10:30-11:45, 수09:00-10:15","['월18', '월19', '월20', '월21', '월22', '월23', '월24', '월25', '월26', '월27', '월28', '월29', '월30', '월31', '월32', '수0', '수1', '수2', '수3', '수4', '수5', '수6', '수7', '수8', '수9', '수10', '수11', '수12', '수13', '수14']",오프라인,"['의사소통', '의사소통']",2
41,창의적글쓰기,이지양,['51206'],"월12:00-13:15, 수13:30-14:45","['월36', '월37', '월38', '월39', '월40', '월41', '월42', '월43', '월44', '월45', '월46', '월47', '월48', '월49', '월50', '수54', '수55', '수56', '수57', '수58', '수59', '수60', '수61', '수62', '수63', '수64', '수65', '수66', '수67', '수68']",오프라인,"['의사소통', '의사소통']",2
42,창의적글쓰기,이경돈,['51206'],"월13:30-14:45, 수12:00-13:15","['월54', '월55', '월56', '월57', '월58', '월59', '월60', '월61', '월62', '월63', '월64', '월65', '월66', '월67', '월68', '수36', '수37', '수38', '수39', '수40', '수41', '수42', '수43', '수44', '수45', '수46', '수47', '수48', '수49', '수50']",오프라인,"['의사소통', '의사소통']",2
43,학술보고서바로쓰기,유소영,['27530'],"목13:00-13:50, 목14:00-14:50","['목48', '목49', '목50', '목51', '목52', '목53', '목54', '목55', '목56', '목57', '목60', '목61', '목62', '목63', '목64', '목65', '목66', '목67', '목68', '목69']",오프라인,"['의사소통', '의사소통']",2
44,학술적글쓰기,김주일,['51318'],"월09:00-10:15, 수10:30-11:45","['월0', '월1', '월2', '월3', '월4', '월5', '월6', '월7', '월8', '월9', '월10', '월11', '월12', '월13', '월14', '수18', '수19', '수20', '수21', '수22', '수23', '수24', '수25', '수26', '수27', '수28', '수29', '수30', '수31', '수32']",오프라인,"['의사소통', '의사소통']",2
45,학술적글쓰기,김주일,['51318'],"월10:30-11:45, 수09:00-10:15","['월18', '월19', '월20', '월21', '월22', '월23', '월24', '월25', '월26', '월27', '월28', '월29', '월30', '월31', '월32', '수0', '수1', '수2', '수3', '수4', '수5', '수6', '수7', '수8', '수9', '수10', '수11', '수12', '수13', '수14']",오프라인,"['의사소통', '의사소통']",2
46,학술적글쓰기,김상현,['51318'],"월12:00-13:15, 수13:30-14:45","['월36', '월37', '월38', '월39', '월40', '월41', '월42', '월43', '월44', '월45', '월46', '월47', '월48', '월49', '월50', '수54', '수55', '수56', '수57', '수58', '수59', '수60', '수61', '수62', '수63', '수64', '수65', '수66', '수67', '수68']",오프라인,"['의사소통', '의사소통']",2
47,학술적글쓰기,김상현,['51318'],"월13:30-14:45, 수12:00-13:15","['월54', '월55', '월56', '월57', '월58', '월59', '월60', '월61', '월62', '월63', '월64', '월65', '월66', '월67', '월68', '수36', '수37', '수38', '수39', '수40', '수41', '수42', '수43', '수44', '수45', '수46', '수47', '수48', '수49', '수50']",오프라인,"['의사소통', '의사소통']",2
48,한국어문장의이해,유소영,['27530'],"목16:00-16:50, 목17:00-17:50","['목84', '목85', '목86', '목87', '목88', '목89', '목90', '목91', '목92', '목93', '목96', '목97', '목98', '목99', '목100', '목101', '목102', '목103', '목104', '목105']",오프라인,"['의사소통', '의사소통']",2
49,사고와표현,이윤자,['27530'],"목09:00-10:15, 목10:30-11:45","['목0', '목1', '목2', '목3', '목4', '목5', '목6', '목7', '목8', '목9', '목10', '목11', '목12', '목13', '목14', '목18', '목19', '목20', '목21', '목22', '목23', '목24', '목25', '목26', '목27', '목28', '목29', '목30', '목31', '목32']",오프라인,"['창의', '창의와사유']",3
50,창의와사유의기초,유현정,['27515'],"화12:00-13:15, 화13:30-14:45","['화36', '화37', '화38', '화39', '화40', '화41', '화42', '화43', '화44', '화45', '화46', '화47', '화48', '화49', '화50', '화54', '화55', '화56', '화57', '화58', '화59', '화60', '화61', '화62', '화63', '화64', '화65', '화66', '화67', '화68']",오프라인,"['창의', '창의와사유']",2
51,창의적사고,이화선,['미지정'],"화13:00-13:50, 화14:00-14:50","['화48', '화49', '화50', '화51', '화52', '화53', '화54', '화55', '화56', '화57', '화60', '화61', '화62', '화63', '화64', '화65', '화66', '화67', '화68', '화69']",온라인[사전제작],"['창의', '창의와사유']",2
52,창의적융합디자인,전영실,['26504'],"금10:00-10:50, 금11:00-11:50","['금12', '금13', '금14', '금15', '금16', '금17', '금18', '금19', '금20', '금21', '금24', '금25', '금26', '금27', '금28', '금29', '금30', '금31', '금32', '금33']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['창의', '창의']",3
53,창의적융합디자인,이주열,['51206'],"금10:00-10:50, 금11:00-11:50","['금12', '금13', '금14', '금15', '금16', '금17', '금18', '금19', '금20', '금21', '금24', '금25', '금26', '금27', '금28', '금29', '금30', '금31', '금32', '금33']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['창의', '창의']",3
54,창의적융합디자인,임수연,['85712'],"금10:00-10:50, 금11:00-11:50","['금12', '금13', '금14', '금15', '금16', '금17', '금18', '금19', '금20', '금21', '금24', '금25', '금26', '금27', '금28', '금29', '금30', '금31', '금32', '금33']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['창의', '창의']",3
55,창의적융합디자인,정동근,['27517'],"금10:00-10:50, 금11:00-11:50","['금12', '금13', '금14', '금15', '금16', '금17', '금18', '금19', '금20', '금21', '금24', '금25', '금26', '금27', '금28', '금29', '금30', '금31', '금32', '금33']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['창의', '창의']",3
56,공학컴퓨터프로그래밍,이연호,['21502'],"화13:30-14:45, 목12:00-13:15","['화54', '화55', '화56', '화57', '화58', '화59', '화60', '화61', '화62', '화63', '화64', '화65', '화66', '화67', '화68', '목36', '목37', '목38', '목39', '목40', '목41', '목42', '목43', '목44', '목45', '목46', '목47', '목48', '목49', '목50']",오프라인,"['미래(SW/AI)1', '기초자연과학(필수)']",3
57,프로그래밍기초와실습,김영훈,['26307'],"월12:00-13:15, 수13:30-14:45","['월36', '월37', '월38', '월39', '월40', '월41', '월42', '월43', '월44', '월45', '월46', '월47', '월48', '월49', '월50', '수54', '수55', '수56', '수57', '수58', '수59', '수60', '수61', '수62', '수63', '수64', '수65', '수66', '수67', '수68']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['미래(SW/AI)1', '기초자연과학(필수)']",3
58,경제학입문,이해춘,['26509'],"목09:00-10:15, 목10:30-11:45","['목0', '목1', '목2', '목3', '목4', '목5', '목6', '목7', '목8', '목9', '목10', '목11', '목12', '목13', '목14', '목18', '목19', '목20', '목21', '목22', '목23', '목24', '목25', '목26', '목27', '목28', '목29', '목30', '목31', '목32']","온-오프[오프라인+강의저장,Real Time Streaming]","['인문사회과학/자연과학기반', '기초인문사회과학']",3
59,고급미분적분학1,김현수,['32255'],"금12:00-13:15, 금13:30-14:45","['금36', '금37', '금38', '금39', '금40', '금41', '금42', '금43', '금44', '금45', '금46', '금47', '금48', '금49', '금50', '금54', '금55', '금56', '금57', '금58', '금59', '금60', '금61', '금62', '금63', '금64', '금65', '금66', '금67', '금68']",온라인[사전제작],"['인문사회과학/자연과학기반', '기초자연과학']",3
60,고급생명과학1,윤환수,['51308'],"금09:00-10:15, 금10:30-11:45","['금0', '금1', '금2', '금3', '금4', '금5', '금6', '금7', '금8', '금9', '금10', '금11', '금12', '금13', '금14', '금18', '금19', '금20', '금21', '금22', '금23', '금24', '금25', '금26', '금27', '금28', '금29', '금30', '금31', '금32']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['인문사회과학/자연과학기반', '기초자연과학']",3
61,고급생명과학1,김승철,['51308'],"금12:00-13:15, 금13:30-14:45","['금36', '금37', '금38', '금39', '금40', '금41', '금42', '금43', '금44', '금45', '금46', '금47', '금48', '금49', '금50', '금54', '금55', '금56', '금57', '금58', '금59', '금60', '금61', '금62', '금63', '금64', '금65', '금66', '금67', '금68']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['인문사회과학/자연과학기반', '기초자연과학']",3
62,공학수학1,미트라게게르치,['23217'],"월16:30-17:45, 수15:00-16:15","['월90', '월91', '월92', '월93', '월94', '월95', '월96', '월97', '월98', '월99', '월100', '월101', '월102', '월103', '월104', '수72', '수73', '수74', '수75', '수76', '수77', '수78', '수79', '수80', '수81', '수82', '수83', '수84', '수85', '수86']",온-오프[오프라인+강의저장],"['인문사회과학/자연과학기반', '기초자연과학']",3
63,공학수학1,유원종,['26515'],"화13:30-14:45, 목12:00-13:15","['화54', '화55', '화56', '화57', '화58', '화59', '화60', '화61', '화62', '화63', '화64', '화65', '화66', '화67', '화68', '목36', '목37', '목38', '목39', '목40', '목41', '목42', '목43', '목44', '목45', '목46', '목47', '목48', '목49', '목50']",오프라인,"['인문사회과학/자연과학기반', '기초자연과학']",3
64,공학수학1,하마드코티바,['26515'],"화15:00-16:15, 목16:30-17:45","['화72', '화73', '화74', '화75', '화76', '화77', '화78', '화79', '화80', '화81', '화82', '화83', '화84', '화85', '화86', '목90', '목91', '목92', '목93', '목94', '목95', '목96', '목97', '목98', '목99', '목100', '목101', '목102', '목103', '목104']",온-오프[오프라인+강의저장],"['인문사회과학/자연과학기반', '기초자연과학']",3
65,기초독어1,오민정,['85712'],"화09:00-10:15, 화10:30-11:45","['화0', '화1', '화2', '화3', '화4', '화5', '화6', '화7', '화8', '화9', '화10', '화11', '화12', '화13', '화14', '화18', '화19', '화20', '화21', '화22', '화23', '화24', '화25', '화26', '화27', '화28', '화29', '화30', '화31', '화32']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['인문사회과학/자연과학기반', '기초인문사회과학']",3
66,기초일본어1,구현숙,['27532'],"화09:00-10:15, 목10:30-11:45","['화0', '화1', '화2', '화3', '화4', '화5', '화6', '화7', '화8', '화9', '화10', '화11', '화12', '화13', '화14', '목18', '목19', '목20', '목21', '목22', '목23', '목24', '목25', '목26', '목27', '목28', '목29', '목30', '목31', '목32']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['인문사회과학/자연과학기반', '기초인문사회과학']",3
67,기초중국어1,김금남,['26509'],"화16:30-17:45, 목15:00-16:15","['화90', '화91', '화92', '화93', '화94', '화95', '화96', '화97', '화98', '화99', '화100', '화101', '화102', '화103', '화104', '목72', '목73', '목74', '목75', '목76', '목77', '목78', '목79', '목80', '목81', '목82', '목83', '목84', '목85', '목86']",오프라인,"['인문사회과학/자연과학기반', '기초인문사회과학']",3
68,기초한문,이은영,['85602'],"화15:00-16:15, 목16:30-17:45","['화72', '화73', '화74', '화75', '화76', '화77', '화78', '화79', '화80', '화81', '화82', '화83', '화84', '화85', '화86', '목90', '목91', '목92', '목93', '목94', '목95', '목96', '목97', '목98', '목99', '목100', '목101', '목102', '목103', '목104']",오프라인,"['인문사회과학/자연과학기반', '기초인문사회과학']",3
69,미분적분학1,이정찬,['85613'],"화10:30-11:45, 목09:00-10:15","['화18', '화19', '화20', '화21', '화22', '화23', '화24', '화25', '화26', '화27', '화28', '화29', '화30', '화31', '화32', '목0', '목1', '목2', '목3', '목4', '목5', '목6', '목7', '목8', '목9', '목10', '목11', '목12', '목13', '목14']",오프라인,"['인문사회과학/자연과학기반', '기초자연과학']",3
70,미분적분학1,천창범,['27532'],"월10:30-11:45, 수09:00-10:15","['월18', '월19', '월20', '월21', '월22', '월23', '월24', '월25', '월26', '월27', '월28', '월29', '월30', '월31', '월32', '수0', '수1', '수2', '수3', '수4', '수5', '수6', '수7', '수8', '수9', '수10', '수11', '수12', '수13', '수14']",온라인[사전제작],"['인문사회과학/자연과학기반', '기초자연과학']",3
71,미분적분학1,배종식,['32255'],"월12:00-13:15, 수13:30-14:45","['월36', '월37', '월38', '월39', '월40', '월41', '월42', '월43', '월44', '월45', '월46', '월47', '월48', '월49', '월50', '수54', '수55', '수56', '수57', '수58', '수59', '수60', '수61', '수62', '수63', '수64', '수65', '수66', '수67', '수68']",오프라인,"['인문사회과학/자연과학기반', '기초자연과학']",3
72,미분적분학1,배종식,['32255'],"월13:30-14:45, 수12:00-13:15","['월54', '월55', '월56', '월57', '월58', '월59', '월60', '월61', '월62', '월63', '월64', '월65', '월66', '월67', '월68', '수36', '수37', '수38', '수39', '수40', '수41', '수42', '수43', '수44', '수45', '수46', '수47', '수48', '수49', '수50']",오프라인,"['인문사회과학/자연과학기반', '기초자연과학']",3
73,미분적분학2,김수민,['61209'],"월10:30-11:45, 수09:00-10:15","['월18', '월19', '월20', '월21', '월22', '월23', '월24', '월25', '월26', '월27', '월28', '월29', '월30', '월31', '월32', '수0', '수1', '수2', '수3', '수4', '수5', '수6', '수7', '수8', '수9', '수10', '수11', '수12', '수13', '수14']",온라인[사전제작],"['인문사회과학/자연과학기반', '기초자연과학']",3
74,미분적분학실습1,윤석배,['31316'],"화15:00-15:50, 화16:00-16:50","['화72', '화73', '화74', '화75', '화76', '화77', '화78', '화79', '화80', '화81', '화84', '화85', '화86', '화87', '화88', '화89', '화90', '화91', '화92', '화93']",오프라인,"['인문사회과학/자연과학기반(실습)', '기초자연과학(실습)']",1
75,사회학입문,이완수,['26312'],"금12:00-13:15, 금13:30-14:45","['금36', '금37', '금38', '금39', '금40', '금41', '금42', '금43', '금44', '금45', '금46', '금47', '금48', '금49', '금50', '금54', '금55', '금56', '금57', '금58', '금59', '금60', '금61', '금62', '금63', '금64', '금65', '금66', '금67', '금68']",오프라인,"['인문사회과학/자연과학기반', '기초인문사회과학']",3
